FROM_INDEX,TO_INDEX,DURATION_H,DIST_KM
1,1,0,0
1,2,0.418872222,17.16974
1,3,0.247219444,18.26424
1,4,0.371566667,16.0016
1,5,0.310780556,19.94643
1,6,0.300991667,15.17021
1,7,0.259366667,14.36227
1,8,0.171894444,10.9095
1,9,0.262027778,13.13895
1,10,0.196558333,11.8266
1,11,0.114758333,6.05697
1,12,0.271894444,13.48619
1,13,0.267752778,14.53532
1,14,0.307327778,19.6139
1,15,0.326494444,20.13798
1,16,0.173805556,9.98026
1,17,0.361280556,21.08615
1,18,0.273486111,13.47969
1,19,0.410930556,16.94292
1,20,0.337405556,20.52312
2,1,0.354397222,13.17645
2,2,0,0
2,3,0.210561111,5.30697
2,4,0.059627778,1.68444
2,5,0.228425,5.90304
2,6,0.163958333,3.88944
2,7,0.207683333,4.91214
2,8,0.315541667,9.12072
2,9,0.1937,5.16645
2,10,0.340202778,10.03782
2,11,0.38445,15.69427
2,12,0.186547222,4.85989
2,13,0.176566667,4.62317
2,14,0.171177778,4.29103
2,15,0.11715,3.20336
2,16,0.292416667,9.32576
2,17,0.078808333,2.21965
2,18,0.248213889,6.36544
2,19,0.007947222,0.22692
2,20,0.201255556,5.20025
3,1,0.188822222,12.67913
3,2,0.210586111,5.26721
3,3,0,0
3,4,0.21875,4.84626
3,5,0.101769444,2.34912
3,6,0.173075,4.40722
3,7,0.108152778,3.19393
3,8,0.160769444,8.94124
3,9,0.225780556,8.08357
3,10,0.185433333,9.85834
3,11,0.277588889,18.71077
3,12,0.235644444,8.43081
3,13,0.139836111,3.77233
3,14,0.077802778,1.61507
3,15,0.096966667,2.13915
3,16,0.240161111,14.51017
3,17,0.131755556,3.08732
3,18,0.237238889,8.42431
3,19,0.202644444,5.04039
3,20,0.107880556,2.52429
4,1,0.326830556,12.69604
4,2,0.059627778,1.68444
4,3,0.21875,4.84626
4,4,0,0
4,5,0.236611111,5.44232
4,6,0.119533333,2.23215
4,7,0.189844444,3.62885
4,8,0.287975,8.64032
4,9,0.137036111,3.52649
4,10,0.312636111,9.55742
4,11,0.337166667,14.48638
4,12,0.129883333,3.21993
4,13,0.149455556,2.83389
4,14,0.179366667,3.83032
4,15,0.125336111,2.74265
4,16,0.245133333,8.11787
4,17,0.086994444,1.75894
4,18,0.19155,4.72548
4,19,0.051686111,1.45762
4,20,0.209444444,4.73954
5,1,0.235644444,14.03081
5,2,0.228447222,5.86328
5,3,0.103305556,2.36202
5,4,0.236611111,5.44232
5,5,0,0
5,6,0.199472222,5.03445
5,7,0.189541667,5.18492
5,8,0.207594444,10.29292
5,9,0.302088889,7.32838
5,10,0.232255556,11.21002
5,11,0.324411111,20.06245
5,12,0.294936111,7.02182
5,13,0.201863889,5.13278
5,14,0.08665,1.98572
5,15,0.114830556,2.73522
5,16,0.286983333,15.86185
5,17,0.149616667,3.68339
5,18,0.318627778,10.4153
5,19,0.220505556,5.63646
5,20,0.030302778,0.73412
6,1,0.213505556,9.21254
6,2,0.159241667,3.94298
6,3,0.164461111,4.4226
6,4,0.117266667,2.58458
6,5,0.199472222,5.03445
6,6,0,0
6,7,0.076063889,1.45423
6,8,0.174647222,5.15682
6,9,0.118036111,2.98336
6,10,0.199311111,6.07392
6,11,0.280586111,12.644
6,12,0.110883333,2.6768
6,13,0.035675,0.65927
6,14,0.142227778,3.42244
6,15,0.0882,2.33477
6,16,0.188552778,6.2755
6,17,0.083752778,1.83181
