Date,Index
1-Jan-20,0
2-Jan-20,0
3-Jan-20,0
4-Jan-20,0
5-Jan-20,0
6-Jan-20,0
7-Jan-20,0
8-Jan-20,0
9-Jan-20,0
10-Jan-20,0
11-Jan-20,0
12-Jan-20,0
13-Jan-20,0
14-Jan-20,0
15-Jan-20,0
16-Jan-20,0
17-Jan-20,0
18-Jan-20,0
19-Jan-20,0
20-Jan-20,0
21-Jan-20,0
22-Jan-20,0
23-Jan-20,0
24-Jan-20,5.56
25-Jan-20,5.56
26-Jan-20,5.56
27-Jan-20,5.56
28-Jan-20,5.56
29-Jan-20,5.56
30-Jan-20,5.56
31-Jan-20,5.56
1-Feb-20,5.56
2-Feb-20,5.56
3-Feb-20,5.56
4-Feb-20,5.56
5-Feb-20,5.56
6-Feb-20,5.56
7-Feb-20,5.56
8-Feb-20,5.56
9-Feb-20,5.56
10-Feb-20,5.56
11-Feb-20,5.56
12-Feb-20,11.11
13-Feb-20,11.11
14-Feb-20,11.11
15-Feb-20,11.11
16-Feb-20,11.11
17-Feb-20,11.11
18-Feb-20,11.11
19-Feb-20,11.11
20-Feb-20,11.11
21-Feb-20,11.11
22-Feb-20,11.11
23-Feb-20,11.11
24-Feb-20,11.11
25-Feb-20,11.11
26-Feb-20,16.67
27-Feb-20,16.67
28-Feb-20,19.44
29-Feb-20,25
1-Mar-20,25
2-Mar-20,25
3-Mar-20,25
4-Mar-20,25
5-Mar-20,25
6-Mar-20,25
7-Mar-20,25
8-Mar-20,25
9-Mar-20,28.7
10-Mar-20,32.87
11-Mar-20,32.87
12-Mar-20,32.87
13-Mar-20,32.87
14-Mar-20,32.87
15-Mar-20,32.87
16-Mar-20,42.13
17-Mar-20,42.13
18-Mar-20,52.31
19-Mar-20,55.09
20-Mar-20,57.87
21-Mar-20,68.06
22-Mar-20,76.85
23-Mar-20,76.85
24-Mar-20,76.85
25-Mar-20,76.85
26-Mar-20,76.85
27-Mar-20,76.85
28-Mar-20,76.85
29-Mar-20,76.85
30-Mar-20,76.85
31-Mar-20,76.85
1-Apr-20,76.85
2-Apr-20,76.85
3-Apr-20,76.85
4-Apr-20,76.85
5-Apr-20,76.85
6-Apr-20,76.85
7-Apr-20,76.85
8-Apr-20,76.85
9-Apr-20,76.85
10-Apr-20,76.85
11-Apr-20,76.85
12-Apr-20,76.85
13-Apr-20,76.85
14-Apr-20,76.85
15-Apr-20,76.85
16-Apr-20,76.85
17-Apr-20,76.85
18-Apr-20,76.85
19-Apr-20,76.85
20-Apr-20,76.85
21-Apr-20,76.85
22-Apr-20,76.85
23-Apr-20,76.85
24-Apr-20,76.85
25-Apr-20,76.85
26-Apr-20,76.85
27-Apr-20,76.85
28-Apr-20,76.85
29-Apr-20,76.85
30-Apr-20,76.85
1-May-20,76.85
2-May-20,76.85
3-May-20,75.46
4-May-20,71.76
5-May-20,71.76
6-May-20,66.2
7-May-20,64.35
8-May-20,64.35
9-May-20,64.35
10-May-20,64.35
11-May-20,64.35
12-May-20,64.35
13-May-20,64.35
14-May-20,64.35
15-May-20,64.35
16-May-20,61.57
17-May-20,61.57
18-May-20,61.57
19-May-20,59.72
20-May-20,59.72
21-May-20,59.72
22-May-20,59.72
23-May-20,59.72
24-May-20,59.72
25-May-20,59.72
26-May-20,59.72
27-May-20,59.72
28-May-20,59.72
29-May-20,59.72
30-May-20,59.72
31-May-20,59.72
1-Jun-20,59.72
2-Jun-20,59.72
3-Jun-20,59.72
4-Jun-20,59.72
5-Jun-20,59.72
6-Jun-20,59.72
7-Jun-20,59.72
8-Jun-20,59.72
9-Jun-20,59.72
10-Jun-20,59.72
11-Jun-20,59.72
12-Jun-20,59.72
13-Jun-20,59.72
14-Jun-20,59.72
15-Jun-20,59.72
16-Jun-20,59.72
17-Jun-20,59.72
18-Jun-20,63.43
19-Jun-20,63.43
20-Jun-20,63.43
21-Jun-20,63.43
22-Jun-20,63.43
23-Jun-20,63.43
24-Jun-20,63.43
25-Jun-20,63.43
26-Jun-20,63.43
27-Jun-20,63.43
28-Jun-20,63.43
29-Jun-20,63.43
30-Jun-20,63.43
1-Jul-20,63.43
2-Jul-20,63.43
3-Jul-20,63.43
4-Jul-20,63.43
5-Jul-20,63.43
6-Jul-20,63.43
7-Jul-20,55.09
8-Jul-20,55.09
9-Jul-20,55.09
10-Jul-20,55.09
11-Jul-20,55.09
12-Jul-20,55.09
13-Jul-20,55.09
14-Jul-20,55.09
15-Jul-20,55.09
16-Jul-20,55.09
17-Jul-20,55.09
18-Jul-20,55.09
19-Jul-20,55.09
20-Jul-20,55.09
21-Jul-20,55.09
22-Jul-20,55.09
23-Jul-20,55.09
24-Jul-20,55.09
25-Jul-20,55.09
26-Jul-20,55.09
27-Jul-20,55.09
28-Jul-20,55.09
29-Jul-20,55.09
30-Jul-20,55.09
31-Jul-20,57.87
1-Aug-20,57.87
2-Aug-20,57.87
3-Aug-20,57.87
4-Aug-20,57.87
5-Aug-20,57.87
6-Aug-20,57.87
7-Aug-20,59.72
8-Aug-20,56.94
9-Aug-20,56.94
10-Aug-20,56.94
11-Aug-20,56.94
12-Aug-20,56.94
13-Aug-20,56.94
14-Aug-20,56.94
15-Aug-20,56.94
16-Aug-20,56.94
17-Aug-20,56.94
18-Aug-20,56.94
19-Aug-20,56.94
20-Aug-20,56.94
21-Aug-20,56.94
22-Aug-20,56.94
23-Aug-20,56.94
24-Aug-20,59.72
25-Aug-20,59.72
26-Aug-20,59.72
27-Aug-20,59.72
28-Aug-20,59.72
29-Aug-20,59.72
30-Aug-20,59.72
31-Aug-20,59.72
1-Sep-20,59.72
2-Sep-20,59.72
3-Sep-20,57.87
4-Sep-20,49.54
5-Sep-20,49.54
6-Sep-20,49.54
7-Sep-20,49.54
8-Sep-20,49.54
9-Sep-20,49.54
10-Sep-20,49.54
11-Sep-20,49.54
12-Sep-20,49.54
13-Sep-20,49.54
14-Sep-20,49.54
15-Sep-20,49.54
16-Sep-20,49.54
17-Sep-20,49.54
18-Sep-20,49.54
19-Sep-20,49.54
20-Sep-20,49.54
21-Sep-20,49.54
22-Sep-20,49.54
23-Sep-20,49.54
24-Sep-20,49.54
25-Sep-20,49.54
26-Sep-20,49.54
27-Sep-20,49.54
28-Sep-20,49.54
29-Sep-20,49.54
30-Sep-20,49.54
1-Oct-20,49.54
2-Oct-20,49.54
3-Oct-20,49.54
4-Oct-20,49.54
5-Oct-20,49.54
6-Oct-20,49.54
7-Oct-20,49.54
8-Oct-20,49.54
9-Oct-20,49.54
10-Oct-20,49.54
11-Oct-20,49.54
12-Oct-20,49.54
13-Oct-20,49.54
14-Oct-20,49.54
15-Oct-20,58.8
16-Oct-20,58.8
17-Oct-20,58.8
18-Oct-20,58.8
19-Oct-20,58.8
20-Oct-20,58.8
21-Oct-20,58.8
22-Oct-20,60.65
23-Oct-20,60.65
24-Oct-20,60.65
25-Oct-20,60.65
26-Oct-20,60.65
27-Oct-20,60.65
28-Oct-20,60.65
29-Oct-20,60.65
30-Oct-20,60.65
31-Oct-20,60.65
1-Nov-20,60.65
2-Nov-20,62.04
3-Nov-20,62.04
4-Nov-20,62.04
5-Nov-20,62.04
6-Nov-20,62.04
7-Nov-20,62.04
8-Nov-20,62.04
9-Nov-20,62.04
10-Nov-20,62.04
11-Nov-20,62.04
12-Nov-20,62.04
13-Nov-20,62.04
14-Nov-20,62.04
15-Nov-20,62.04
16-Nov-20,62.04
17-Nov-20,62.04
18-Nov-20,62.04
19-Nov-20,62.04
20-Nov-20,62.04
21-Nov-20,62.04
22-Nov-20,62.04
23-Nov-20,62.04
24-Nov-20,62.04
25-Nov-20,62.04
26-Nov-20,62.04
27-Nov-20,62.04
28-Nov-20,62.04
29-Nov-20,62.04
30-Nov-20,67.59
1-Dec-20,67.59
2-Dec-20,67.59
3-Dec-20,67.59
4-Dec-20,67.59
5-Dec-20,67.59
6-Dec-20,67.59
7-Dec-20,67.59
8-Dec-20,67.59
9-Dec-20,67.59
10-Dec-20,67.59
11-Dec-20,67.59
12-Dec-20,67.59
13-Dec-20,67.59
14-Dec-20,67.59
15-Dec-20,75
16-Dec-20,82.41
17-Dec-20,82.41
18-Dec-20,82.41
19-Dec-20,82.41
20-Dec-20,82.41
21-Dec-20,82.41
22-Dec-20,82.41
23-Dec-20,82.41
24-Dec-20,82.41
25-Dec-20,82.41
26-Dec-20,82.41
27-Dec-20,82.41
28-Dec-20,82.41
29-Dec-20,82.41
30-Dec-20,82.41
31-Dec-20,82.41
1-Jan-21,82.41
2-Jan-21,82.41
3-Jan-21,82.41
4-Jan-21,82.41
5-Jan-21,85.19
6-Jan-21,85.19
7-Jan-21,85.19
8-Jan-21,85.19
9-Jan-21,85.19
10-Jan-21,83.33
11-Jan-21,83.33
12-Jan-21,83.33
13-Jan-21,83.33
14-Jan-21,83.33
15-Jan-21,83.33
16-Jan-21,83.33
17-Jan-21,83.33
18-Jan-21,83.33
19-Jan-21,83.33
20-Jan-21,83.33
21-Jan-21,83.33
22-Jan-21,83.33
23-Jan-21,83.33
24-Jan-21,83.33
25-Jan-21,83.33
26-Jan-21,83.33
27-Jan-21,83.33
28-Jan-21,83.33
29-Jan-21,83.33
30-Jan-21,83.33
31-Jan-21,83.33
1-Feb-21,83.33
2-Feb-21,83.33
3-Feb-21,83.33
4-Feb-21,83.33
5-Feb-21,83.33
6-Feb-21,83.33
7-Feb-21,83.33
8-Feb-21,83.33
9-Feb-21,83.33
10-Feb-21,83.33
11-Feb-21,83.33
12-Feb-21,83.33
13-Feb-21,83.33
14-Feb-21,83.33
15-Feb-21,83.33
16-Feb-21,83.33
17-Feb-21,83.33
18-Feb-21,83.33
19-Feb-21,83.33
20-Feb-21,83.33
21-Feb-21,83.33
22-Feb-21,81.48
23-Feb-21,81.48
24-Feb-21,81.48
25-Feb-21,81.48
26-Feb-21,81.48
27-Feb-21,81.48
28-Feb-21,81.48
1-Mar-21,77.78
2-Mar-21,77.78
3-Mar-21,77.78
4-Mar-21,77.78
5-Mar-21,77.78
6-Mar-21,77.78
7-Mar-21,77.78
8-Mar-21,77.78
9-Mar-21,77.78
10-Mar-21,77.78
11-Mar-21,77.78
12-Mar-21,77.78
13-Mar-21,77.78
14-Mar-21,77.78
15-Mar-21,77.78
16-Mar-21,77.78
17-Mar-21,77.78
18-Mar-21,77.78
19-Mar-21,77.78
20-Mar-21,75
21-Mar-21,75
22-Mar-21,75
23-Mar-21,75
24-Mar-21,75
25-Mar-21,75
26-Mar-21,75
27-Mar-21,75
28-Mar-21,75
29-Mar-21,75
30-Mar-21,75
31-Mar-21,75
1-Apr-21,75
2-Apr-21,75
3-Apr-21,75
4-Apr-21,75
5-Apr-21,75
6-Apr-21,75
7-Apr-21,75
8-Apr-21,75
9-Apr-21,75
10-Apr-21,75
11-Apr-21,75
12-Apr-21,75
13-Apr-21,75
14-Apr-21,75
15-Apr-21,75
16-Apr-21,75
17-Apr-21,75
18-Apr-21,75
19-Apr-21,75
20-Apr-21,75
21-Apr-21,75
22-Apr-21,75
23-Apr-21,75
24-Apr-21,75
25-Apr-21,75
26-Apr-21,75
27-Apr-21,75
28-Apr-21,75
29-Apr-21,75
30-Apr-21,75
1-May-21,75
2-May-21,75
3-May-21,75
4-May-21,75
5-May-21,75
6-May-21,75
7-May-21,75
8-May-21,75
9-May-21,75
10-May-21,75
11-May-21,75
12-May-21,75
13-May-21,75
14-May-21,75
15-May-21,75
16-May-21,75
17-May-21,75
18-May-21,75
19-May-21,75
20-May-21,75
21-May-21,75
22-May-21,75
23-May-21,75
24-May-21,75
25-May-21,75
26-May-21,75
27-May-21,75
28-May-21,75
29-May-21,75
30-May-21,75
31-May-21,69.44
1-Jun-21,69.44
2-Jun-21,69.44
3-Jun-21,69.44
4-Jun-21,69.44
5-Jun-21,69.44
6-Jun-21,67.59
7-Jun-21,67.59
8-Jun-21,67.59
9-Jun-21,67.59
10-Jun-21,67.59
11-Jun-21,67.59
12-Jun-21,67.59
13-Jun-21,67.59
14-Jun-21,67.59
15-Jun-21,67.59
16-Jun-21,67.59
17-Jun-21,67.59
18-Jun-21,67.59
19-Jun-21,67.59
20-Jun-21,67.59
21-Jun-21,67.59
22-Jun-21,67.59
23-Jun-21,67.59
24-Jun-21,67.59
25-Jun-21,67.59
26-Jun-21,67.59
27-Jun-21,67.59
28-Jun-21,67.59
29-Jun-21,67.59
30-Jun-21,67.59
1-Jul-21,67.59
2-Jul-21,67.59
3-Jul-21,67.59
4-Jul-21,67.59
5-Jul-21,67.59
6-Jul-21,67.59
7-Jul-21,67.59
8-Jul-21,67.59
9-Jul-21,67.59
10-Jul-21,67.59
11-Jul-21,67.59
12-Jul-21,67.59
13-Jul-21,67.59
14-Jul-21,67.59
15-Jul-21,67.59
16-Jul-21,67.59
17-Jul-21,67.59
18-Jul-21,67.59
19-Jul-21,67.59
20-Jul-21,67.59
21-Jul-21,67.59
22-Jul-21,67.59
23-Jul-21,67.59
24-Jul-21,67.59
25-Jul-21,67.59
26-Jul-21,67.59
27-Jul-21,67.59
28-Jul-21,67.59
29-Jul-21,67.59
30-Jul-21,67.59
31-Jul-21,67.59
1-Aug-21,64.81
2-Aug-21,64.81
3-Aug-21,59.26
4-Aug-21,59.26
5-Aug-21,59.26
6-Aug-21,59.26
7-Aug-21,59.26
8-Aug-21,59.26
9-Aug-21,59.26
10-Aug-21,59.26
11-Aug-21,59.26
12-Aug-21,59.26
13-Aug-21,59.26
14-Aug-21,59.26
15-Aug-21,59.26
16-Aug-21,59.26
17-Aug-21,59.26
18-Aug-21,59.26
19-Aug-21,59.26
20-Aug-21,56.48
21-Aug-21,56.48
22-Aug-21,56.48
23-Aug-21,44.77
24-Aug-21,44.7
25-Aug-21,44.62
26-Aug-21,44.56
27-Aug-21,44.51
28-Aug-21,43.75
29-Aug-21,43.74
30-Aug-21,43.7
31-Aug-21,43.65
1-Sep-21,43.6
2-Sep-21,43.55
3-Sep-21,43.51
4-Sep-21,43.49
5-Sep-21,43.48
6-Sep-21,43.46
7-Sep-21,43.42
8-Sep-21,43.37
9-Sep-21,43.33
10-Sep-21,43.29
11-Sep-21,37.71
12-Sep-21,37.7
13-Sep-21,37.67
14-Sep-21,37.63
15-Sep-21,37.58
16-Sep-21,37.53
17-Sep-21,37.49
18-Sep-21,37.47
19-Sep-21,37.46
20-Sep-21,37.43
21-Sep-21,36.88
22-Sep-21,36.83
23-Sep-21,36.79
24-Sep-21,36.75
25-Sep-21,36.73
26-Sep-21,36.72
27-Sep-21,36.7
28-Sep-21,36.66
29-Sep-21,36.62
30-Sep-21,36.59
1-Oct-21,35.57
2-Oct-21,35.57
3-Oct-21,35.57
4-Oct-21,35.56
5-Oct-21,35.53
6-Oct-21,35.5
7-Oct-21,35.46
8-Oct-21,35.44
9-Oct-21,35.44
10-Oct-21,29.89
11-Oct-21,29.87
12-Oct-21,29.85
13-Oct-21,29.82
14-Oct-21,29.79
15-Oct-21,29.77
16-Oct-21,29.77
17-Oct-21,29.77
18-Oct-21,29.75
19-Oct-21,29.73
20-Oct-21,29.7
21-Oct-21,29.68
22-Oct-21,29.66
23-Oct-21,29.66
24-Oct-21,29.65
25-Oct-21,29.64
26-Oct-21,29.62
27-Oct-21,29.59
28-Oct-21,31.43
29-Oct-21,31.41
30-Oct-21,31.41
31-Oct-21,31.41
1-Nov-21,31.4
2-Nov-21,31.38
3-Nov-21,31.35
4-Nov-21,31.32
5-Nov-21,31.3
6-Nov-21,31.29
7-Nov-21,31.29
8-Nov-21,31.28
9-Nov-21,31.25
10-Nov-21,33.07
11-Nov-21,33.04
12-Nov-21,33.02
13-Nov-21,33.02
14-Nov-21,33.02
15-Nov-21,48.32
16-Nov-21,48.3
17-Nov-21,48.28
18-Nov-21,48.25
19-Nov-21,48.24
20-Nov-21,48.23
21-Nov-21,48.23
22-Nov-21,48.22
23-Nov-21,48.2
24-Nov-21,48.17
25-Nov-21,48.15
26-Nov-21,48.13
27-Nov-21,48.12
28-Nov-21,48.11
29-Nov-21,48.1
30-Nov-21,48.08
1-Dec-21,48.05
2-Dec-21,48.03
3-Dec-21,48
4-Dec-21,47.99
5-Dec-21,47.99
6-Dec-21,47.97
7-Dec-21,47.95
8-Dec-21,47.92
9-Dec-21,47.9
10-Dec-21,47.87
11-Dec-21,47.86
12-Dec-21,47.85
13-Dec-21,47.84
14-Dec-21,47.8
15-Dec-21,47.77
16-Dec-21,47.73
17-Dec-21,47.7
18-Dec-21,47.68
19-Dec-21,47.67
20-Dec-21,47.65
21-Dec-21,47.61
22-Dec-21,47.57
23-Dec-21,47.55
24-Dec-21,47.55
25-Dec-21,47.55
26-Dec-21,47.55
27-Dec-21,47.53
28-Dec-21,47.51
29-Dec-21,47.49
30-Dec-21,47.47
31-Dec-21,47.47
1-Jan-22,47.47
2-Jan-22,47.47
3-Jan-22,47.45
4-Jan-22,47.42
5-Jan-22,47.39
6-Jan-22,47.37
7-Jan-22,47.33
8-Jan-22,47.31
9-Jan-22,47.3
10-Jan-22,47.28
11-Jan-22,47.24
12-Jan-22,47.2
13-Jan-22,47.17
14-Jan-22,47.14
15-Jan-22,47.12
16-Jan-22,47.11
17-Jan-22,47.09
18-Jan-22,47.06
19-Jan-22,47.03
20-Jan-22,47
21-Jan-22,46.98
22-Jan-22,46.96
23-Jan-22,46.95
24-Jan-22,43.4
25-Jan-22,43.4
26-Jan-22,43.39
27-Jan-22,43.38
28-Jan-22,43.38
29-Jan-22,43.37
30-Jan-22,43.37
31-Jan-22,43.37
1-Feb-22,43.36
2-Feb-22,43.36
3-Feb-22,43.35
4-Feb-22,43.35
5-Feb-22,43.34
6-Feb-22,43.34
7-Feb-22,43.34
8-Feb-22,43.33
9-Feb-22,43.33
10-Feb-22,43.32
11-Feb-22,43.32
12-Feb-22,43.32
13-Feb-22,43.32
14-Feb-22,43.31
15-Feb-22,43.31
16-Feb-22,43.31
17-Feb-22,43.3
18-Feb-22,43.3
19-Feb-22,43.3
20-Feb-22,43.3
21-Feb-22,43.29
22-Feb-22,43.29
23-Feb-22,43.29
24-Feb-22,43.29
25-Feb-22,43.28
26-Feb-22,43.28
27-Feb-22,43.28
28-Feb-22,43.28
1-Mar-22,43.28
2-Mar-22,43.28
3-Mar-22,43.27
4-Mar-22,43.27
5-Mar-22,43.27
6-Mar-22,43.27
7-Mar-22,43.27
8-Mar-22,43.27
9-Mar-22,43.27
10-Mar-22,43.26
11-Mar-22,43.26
