date,brand,index,p_date,p_hour,e5
2020-04-14T20:01:06Z,Shell,15,04-14,20:01,1.249
2020-04-14T16:42:06Z,ESSO,12,04-14,16:42,1.179
2020-04-14T20:05:07Z,OMV,3,04-14,20:05,1.249
2020-04-14T20:51:05Z,JET,13,04-14,20:51,1.199
2020-04-14T20:02:08Z,Agip,17,04-14,20:02,1.219
2020-04-14T20:01:06Z,ARAL,6,04-14,20:01,1.269
2020-04-14T18:03:07Z,ARAL,9,04-14,18:03,1.189
2020-04-14T20:01:06Z,ARAL,8,04-14,20:01,1.269
2020-04-14T21:21:07Z,ALLGUTH,7,04-14,21:21,1.189
2020-04-14T18:01:05Z,ARAL,5,04-14,18:01,1.169
2020-04-14T20:02:08Z,Agip,16,04-14,20:02,1.229
2020-04-14T21:33:11Z,HEM,20,04-14,21:33,1.159
2020-04-14T22:13:07Z,ESSO,4,04-14,22:13,1.199
2020-04-14T20:52:07Z,JET,19,04-14,20:52,1.189
2020-04-14T16:41:05Z,Kaufland,14,04-14,16:41,1.149
2020-04-14T16:28:08Z,bft - Walther,18,04-14,16:28,1.169
2020-04-14T20:05:07Z,OMV,10,04-14,20:05,1.249
2020-04-14T20:01:06Z,Shell,2,04-14,20:01,1.249
